platform,post_id,created_at,author_id,post_text,source_url,matched_query,initial_signal_type,signal_type,confidence,matched_terms,opportunity_score,priority,is_tracker,why_now,sales_angle,safe_outreach_suggestion,like_count,reply_count,retweet_count,quote_count,engagement,cluster
x,2054867198544429271,2026-05-14 10:11:32+00:00,20583561,"A ransomware attack on Apple’s main manufacturing partner Foxconn has thrust the world’s most secretive technology supply chain back into the headlines, after hackers claimed they had stolen confidential Apple project files from several North American factories.

Listen to the https://t.co/ycXpMJU3MU",https://x.com/i/web/status/2054867198544429271,"""ransomware attack on""",RANSOMWARE_VICTIM,RANSOMWARE_VICTIM,60,['ransomware attack on'],27,Medium,False,Post names a confirmed ransomware victim -- peers in the same segment face an immediate buying trigger.,Lead with a peer-segment briefing on how comparable companies hardened after a similar incident.,"Internal suggestion: do NOT contact the named victim. Share a generic peer-segment briefing with neighbors in the same vertical, framed as helpful, not opportunistic.",3,1,0,1,5,3
x,2054741276185317452,2026-05-14 01:51:10+00:00,969962207118221312,"Foxconn Confirms Ransomware Attack On North American Factories

https://t.co/Jlti0xhUOR

#foxconn",https://x.com/i/web/status/2054741276185317452,"""ransomware attack on""",RANSOMWARE_VICTIM,RANSOMWARE_VICTIM,60,['ransomware attack on'],27,Medium,False,Post names a confirmed ransomware victim -- peers in the same segment face an immediate buying trigger.,Lead with a peer-segment briefing on how comparable companies hardened after a similar incident.,"Internal suggestion: do NOT contact the named victim. Share a generic peer-segment briefing with neighbors in the same vertical, framed as helpful, not opportunistic.",0,0,0,0,0,3
x,2054676135896633752,2026-05-13 21:32:19+00:00,218323825,"Foxconn Attack Highlights Manufacturing's Cyber Crisis https://t.co/oyob004hHQ A Nitrogen ransomware attack on Foxconn's North American facilities is one of 600 hits on manufacturers this year, as gangs increasingly target the sector for its low tolerance for downtime.",https://x.com/i/web/status/2054676135896633752,"""ransomware attack on""",RANSOMWARE_VICTIM,RANSOMWARE_VICTIM,60,['ransomware attack on'],27,Medium,False,Post names a confirmed ransomware victim -- peers in the same segment face an immediate buying trigger.,Lead with a peer-segment briefing on how comparable companies hardened after a similar incident.,"Internal suggestion: do NOT contact the named victim. Share a generic peer-segment briefing with neighbors in the same vertical, framed as helpful, not opportunistic.",0,0,0,0,0,3
x,2054649487377719437,2026-05-13 19:46:25+00:00,1720665183188922368,"@Doonz_2017 @TrevorRobb_ In 2021, a ransomware attack on a third-party contractor for the RCMP's Canadian Firearms Program exposed personal data of ~2.2 million licensed firearm owners—the largest federal breach reported in 5 years. RCMP delayed notifying the Privacy Commissioner, posted only a general",https://x.com/i/web/status/2054649487377719437,"""ransomware attack on""",RANSOMWARE_VICTIM,RANSOMWARE_VICTIM,60,['ransomware attack on'],27,Medium,False,Post names a confirmed ransomware victim -- peers in the same segment face an immediate buying trigger.,Lead with a peer-segment briefing on how comparable companies hardened after a similar incident.,"Internal suggestion: do NOT contact the named victim. Share a generic peer-segment briefing with neighbors in the same vertical, framed as helpful, not opportunistic.",1,0,0,0,1,5
x,2054634028540789002,2026-05-13 18:45:00+00:00,1165106855879704577,"⚠️ Foxconn Confirms Cyberattack Following Nitrogen Ransomware Gang Claim 

Source: https://t.co/VXkkTWVPuW

Foxconn has officially confirmed a cyberattack targeting its North American operations after the Nitrogen ransomware gang publicly listed the company on its data leak site, https://t.co/nT9bS1hW6I",https://x.com/i/web/status/2054634028540789002,"""data leak site""",RANSOMWARE_OPERATOR,RANSOMWARE_VICTIM,60,['publicly listed'],27,Medium,False,Post names a confirmed ransomware victim -- peers in the same segment face an immediate buying trigger.,Lead with a peer-segment briefing on how comparable companies hardened after a similar incident.,"Internal suggestion: do NOT contact the named victim. Share a generic peer-segment briefing with neighbors in the same vertical, framed as helpful, not opportunistic.",69,1,24,2,96,3
x,2054613682491904431,2026-05-13 17:24:09+00:00,1935373687256965120,"@lake7717 A ransomware attack on a farmer using Internet of Nano Things (IoNT) could be catastrophic — not just data loss, but real-world crop death, livestock harm, or equipment sabotage. Imagine: nano-sensors in soil, crops, or livestock stop reporting moisture, nutrient levels, or",https://x.com/i/web/status/2054613682491904431,"""ransomware attack on""",RANSOMWARE_VICTIM,RANSOMWARE_VICTIM,60,['ransomware attack on'],27,Medium,False,Post names a confirmed ransomware victim -- peers in the same segment face an immediate buying trigger.,Lead with a peer-segment briefing on how comparable companies hardened after a similar incident.,"Internal suggestion: do NOT contact the named victim. Share a generic peer-segment briefing with neighbors in the same vertical, framed as helpful, not opportunistic.",1,0,0,0,1,3
x,2054604505732297057,2026-05-13 16:47:41+00:00,1974396731694473216,"🔐 UNITED STATES: Foxconn confirms ransomware attack on U.S. manufacturing facilities. Operational disruptions reported at affected sites. Potential implications for global technology supply chains under assessment.

#UnitedStates #USA #RansomwareAttack #CyberAttack #ThreatIntel https://t.co/ZhMGHsJ7ZN",https://x.com/i/web/status/2054604505732297057,"""ransomware attack on""",RANSOMWARE_VICTIM,RANSOMWARE_VICTIM,60,['ransomware attack on'],27,Medium,False,Post names a confirmed ransomware victim -- peers in the same segment face an immediate buying trigger.,Lead with a peer-segment briefing on how comparable companies hardened after a similar incident.,"Internal suggestion: do NOT contact the named victim. Share a generic peer-segment briefing with neighbors in the same vertical, framed as helpful, not opportunistic.",0,1,0,0,1,3
x,2054572156491645196,2026-05-13 14:39:08+00:00,75883265,"Foxconn Confirms Cyberattack After Nitrogen Ransomware Gang Claim https://t.co/NZbMwDt8Vm 
Foxconn has officially confirmed a cyberattack targeting its North American operations after the Nitrogen ransomware gang publicly listed the company on its data leak site, claiming to ha…",https://x.com/i/web/status/2054572156491645196,"""data leak site""",RANSOMWARE_OPERATOR,RANSOMWARE_VICTIM,60,['publicly listed'],27,Medium,False,Post names a confirmed ransomware victim -- peers in the same segment face an immediate buying trigger.,Lead with a peer-segment briefing on how comparable companies hardened after a similar incident.,"Internal suggestion: do NOT contact the named victim. Share a generic peer-segment briefing with neighbors in the same vertical, framed as helpful, not opportunistic.",0,0,1,0,1,3
x,2055186454348025916,2026-05-15 07:20:08+00:00,1149641989949992960,"It’d be ironic if Anthropic or OpenAI had a major cyber security breach.

Where the attacker was aided by the AI models the company made.

Very high percent chance this happens imo.",https://x.com/i/web/status/2055186454348025916,"""security breach""",BREACH_DISCLOSURE,BREACH_DISCLOSURE,60,['security breach'],24,Medium,False,Post references an officially disclosed breach -- regulatory pressure typically opens budget for endpoint / detection upgrades.,"Lead with a compliance-aligned post-incident playbook (notification, scope, blast radius) -- not a product pitch.",Internal suggestion: share a post-incident lessons-learned brief; never claim insight you do not have.,0,0,0,0,0,5
x,2055184671814603261,2026-05-15 07:13:03+00:00,603105936,Never should the security breach repeat itself where one criminal will come touch PO on the shoulder in any airport. https://t.co/kL85j01I6s,https://x.com/i/web/status/2055184671814603261,"""security breach""",BREACH_DISCLOSURE,BREACH_DISCLOSURE,60,['security breach'],24,Medium,False,Post references an officially disclosed breach -- regulatory pressure typically opens budget for endpoint / detection upgrades.,"Lead with a compliance-aligned post-incident playbook (notification, scope, blast radius) -- not a product pitch.",Internal suggestion: share a post-incident lessons-learned brief; never claim insight you do not have.,0,0,0,0,0,4
x,2055182963856327056,2026-05-15 07:06:16+00:00,1561956569813864448,@thomasbrake @thomasbrake please can I contact you regarding a massive data breach,https://x.com/i/web/status/2055182963856327056,"""data breach""",BREACH_DISCLOSURE,BREACH_DISCLOSURE,60,['data breach'],24,Medium,False,Post references an officially disclosed breach -- regulatory pressure typically opens budget for endpoint / detection upgrades.,"Lead with a compliance-aligned post-incident playbook (notification, scope, blast radius) -- not a product pitch.",Internal suggestion: share a post-incident lessons-learned brief; never claim insight you do not have.,0,0,0,0,0,4
x,2055181370712793428,2026-05-15 06:59:56+00:00,2032084527737368576,"In a firm rebuke to corporate complacency, the Court held that Safaricom PLC bears direct constitutional liability for a systemic data breach involving subscriber data, M-Pesa transactions, betting activity, device identifiers &amp; geolocation records. 

The Court was categorical https://t.co/pHdd1MYOGc https://t.co/LGas6hs204",https://x.com/i/web/status/2055181370712793428,"""data breach""",BREACH_DISCLOSURE,BREACH_DISCLOSURE,60,['data breach'],24,Medium,False,Post references an officially disclosed breach -- regulatory pressure typically opens budget for endpoint / detection upgrades.,"Lead with a compliance-aligned post-incident playbook (notification, scope, blast radius) -- not a product pitch.",Internal suggestion: share a post-incident lessons-learned brief; never claim insight you do not have.,1,3,2,0,6,4
x,2055179730580590631,2026-05-15 06:53:25+00:00,496419859,"Massive security breach, facilitated by UK Police. If alarm bells aren’t ringing they should have been long before now. UK government and their “friends” are the ones that are worth watching NOT US. https://t.co/5XoGCwOjUx",https://x.com/i/web/status/2055179730580590631,"""security breach""",BREACH_DISCLOSURE,BREACH_DISCLOSURE,60,['security breach'],24,Medium,False,Post references an officially disclosed breach -- regulatory pressure typically opens budget for endpoint / detection upgrades.,"Lead with a compliance-aligned post-incident playbook (notification, scope, blast radius) -- not a product pitch.",Internal suggestion: share a post-incident lessons-learned brief; never claim insight you do not have.,0,0,0,0,0,5
x,2055178550991606065,2026-05-15 06:48:44+00:00,1615031156604555269,@ThanaKusuma Waktu itu pernah server down pernah juga kena laporan data breach,https://x.com/i/web/status/2055178550991606065,"""data breach""",BREACH_DISCLOSURE,BREACH_DISCLOSURE,60,['data breach'],24,Medium,False,Post references an officially disclosed breach -- regulatory pressure typically opens budget for endpoint / detection upgrades.,"Lead with a compliance-aligned post-incident playbook (notification, scope, blast radius) -- not a product pitch.",Internal suggestion: share a post-incident lessons-learned brief; never claim insight you do not have.,0,1,0,0,1,4
x,2055177564793262538,2026-05-15 06:44:49+00:00,1941195726278873088,@Polybit06 Honestly Scott is just bad at giving lore atp like it would make sense for afton to be burntrap while the Blob can be possessed by MCI and DCI and even the missing residents in security breach,https://x.com/i/web/status/2055177564793262538,"""security breach""",BREACH_DISCLOSURE,BREACH_DISCLOSURE,60,['security breach'],24,Medium,False,Post references an officially disclosed breach -- regulatory pressure typically opens budget for endpoint / detection upgrades.,"Lead with a compliance-aligned post-incident playbook (notification, scope, blast radius) -- not a product pitch.",Internal suggestion: share a post-incident lessons-learned brief; never claim insight you do not have.,0,0,0,0,0,4
x,2055174208901021786,2026-05-15 06:31:29+00:00,784337886757855232,Have they seen what's happened in France? Data breach on gov held information involving around a third of the adult population! #NoDigitalID https://t.co/W6OLd079Ko,https://x.com/i/web/status/2055174208901021786,"""data breach""",BREACH_DISCLOSURE,BREACH_DISCLOSURE,60,['data breach'],24,Medium,False,Post references an officially disclosed breach -- regulatory pressure typically opens budget for endpoint / detection upgrades.,"Lead with a compliance-aligned post-incident playbook (notification, scope, blast radius) -- not a product pitch.",Internal suggestion: share a post-incident lessons-learned brief; never claim insight you do not have.,0,0,0,0,0,5
x,2055173882076672357,2026-05-15 06:30:11+00:00,556701043,".@FortiGuardLabs discovered a #phishing campaign spreading a new variant of the information stealer and banking Trojan #QakBot. 

Read our analysis blog to learn how the HTML file can lead to executing the QakBot variant, what actions it takes, and more: https://t.co/sscDgeolfa https://t.co/KKGtLD6RII",https://x.com/i/web/status/2055173882076672357,"""phishing campaign""",MALWARE_CAMPAIGN,MALWARE_CAMPAIGN,80,"['phishing campaign', 'qakbot']",24,Medium,False,Post references an active malware campaign -- exposure is high in the targeted segments.,Share detection-engineering notes specific to the named family; offer a tuned rule pack.,"Internal suggestion: share IoC / detection notes framed as community contribution, not pitch.",0,0,0,0,0,1
x,2055173573250027974,2026-05-15 06:28:57+00:00,1096067738269876225,"@HAHayatu This is data breach though, you may be persecuted for this 

I advise you blur his personal information if you must post it",https://x.com/i/web/status/2055173573250027974,"""data breach""",BREACH_DISCLOSURE,BREACH_DISCLOSURE,60,['data breach'],24,Medium,False,Post references an officially disclosed breach -- regulatory pressure typically opens budget for endpoint / detection upgrades.,"Lead with a compliance-aligned post-incident playbook (notification, scope, blast radius) -- not a product pitch.",Internal suggestion: share a post-incident lessons-learned brief; never claim insight you do not have.,0,0,0,0,0,4
x,2055173351220654357,2026-05-15 06:28:04+00:00,1360136096357765121,This week opening X was dreadful waiting for what other security breach is waiting for me next.,https://x.com/i/web/status/2055173351220654357,"""security breach""",BREACH_DISCLOSURE,BREACH_DISCLOSURE,60,['security breach'],24,Medium,False,Post references an officially disclosed breach -- regulatory pressure typically opens budget for endpoint / detection upgrades.,"Lead with a compliance-aligned post-incident playbook (notification, scope, blast radius) -- not a product pitch.",Internal suggestion: share a post-incident lessons-learned brief; never claim insight you do not have.,0,1,0,0,1,1
x,2055170798013546691,2026-05-15 06:17:56+00:00,1390459434200027136,"@Ags1cr @JentheWoz Nope, no more bs excuses of boys will be boys, it's just a joke, or just lockerroom talk. A simple /s or an I'm not serious facial expression might offset the words, he did neither &amp; how the hell do you know what some rando was thinking? With the data breach, it's real bad/dumb",https://x.com/i/web/status/2055170798013546691,"""data breach""",BREACH_DISCLOSURE,BREACH_DISCLOSURE,60,['data breach'],24,Medium,False,Post references an officially disclosed breach -- regulatory pressure typically opens budget for endpoint / detection upgrades.,"Lead with a compliance-aligned post-incident playbook (notification, scope, blast radius) -- not a product pitch.",Internal suggestion: share a post-incident lessons-learned brief; never claim insight you do not have.,0,0,0,0,0,4
x,2055168577334857989,2026-05-15 06:09:06+00:00,1688680889608265728,OpenAI Confirms Security Breach Via TanStack npm Supply Chain Attack https://t.co/aZcEbZ1vpx,https://x.com/i/web/status/2055168577334857989,"""security breach""",BREACH_DISCLOSURE,BREACH_DISCLOSURE,60,['security breach'],24,Medium,False,Post references an officially disclosed breach -- regulatory pressure typically opens budget for endpoint / detection upgrades.,"Lead with a compliance-aligned post-incident playbook (notification, scope, blast radius) -- not a product pitch.",Internal suggestion: share a post-incident lessons-learned brief; never claim insight you do not have.,0,0,0,0,0,1
x,2055168475186831375,2026-05-15 06:08:42+00:00,724273252718104576,"@foxyFailgirl_ @Adhe3142 Es como FNAF, me gustó la saga principal, es súper cool pero también me gustó Security Breach, por que son obras distintas. 
Me pasé los juegos pero para gente como tú parece incompatible disfrutar ambos productos y si te gusta uno le tienes que tirar mierda al otro",https://x.com/i/web/status/2055168475186831375,"""security breach""",BREACH_DISCLOSURE,BREACH_DISCLOSURE,60,['security breach'],24,Medium,False,Post references an officially disclosed breach -- regulatory pressure typically opens budget for endpoint / detection upgrades.,"Lead with a compliance-aligned post-incident playbook (notification, scope, blast radius) -- not a product pitch.",Internal suggestion: share a post-incident lessons-learned brief; never claim insight you do not have.,0,1,0,0,1,4
x,2055167636921782691,2026-05-15 06:05:22+00:00,901814536004448256,"@XposedOrNot  += Canada Life Data Breach

The Canada Life #databreach occurred in April 2026, when the insurance and financial services company was targeted by the ShinyHunters group, and data later published exposed over 238K unique email addresses and associated customer https://t.co/70OlferiNS",https://x.com/i/web/status/2055167636921782691,"""data breach""",BREACH_DISCLOSURE,BREACH_DISCLOSURE,60,['data breach'],24,Medium,False,Post references an officially disclosed breach -- regulatory pressure typically opens budget for endpoint / detection upgrades.,"Lead with a compliance-aligned post-incident playbook (notification, scope, blast radius) -- not a product pitch.",Internal suggestion: share a post-incident lessons-learned brief; never claim insight you do not have.,0,0,0,0,0,5
x,2055167388039999792,2026-05-15 06:04:23+00:00,2043611533553389568,"🌑 Dark Web Intelligence

🏷️ Category → Data Breach
🏢 Target   → CA Indosuez
🏭 Sector   → Finance
🌍 Country  → Spain
📅 Date     → 2026-05-15

A threat actor is offering for sale approximately 200,000 lines of personally identifiable information allegedly extracted from https://t.co/w3a9fNtGer",https://x.com/i/web/status/2055167388039999792,"""data breach""",BREACH_DISCLOSURE,BREACH_DISCLOSURE,60,['data breach'],24,Medium,False,Post references an officially disclosed breach -- regulatory pressure typically opens budget for endpoint / detection upgrades.,"Lead with a compliance-aligned post-incident playbook (notification, scope, blast radius) -- not a product pitch.",Internal suggestion: share a post-incident lessons-learned brief; never claim insight you do not have.,0,0,0,0,0,5
x,2055167212319617288,2026-05-15 06:03:41+00:00,2043611533553389568,"🌑 Dark Web Intelligence

🏷️ Category → Data Breach
🏢 Target   → Aviso Wealth
🏭 Sector   → Finance
🌍 Country  → Canada
📅 Date     → 2026-05-15

A threat actor is selling an alleged database dump from Aviso Wealth (https://t.co/RYA05f4vdK), a Canadian wealth management https://t.co/xZCNSO3ypU",https://x.com/i/web/status/2055167212319617288,"""data breach""",BREACH_DISCLOSURE,BREACH_DISCLOSURE,60,['data breach'],24,Medium,False,Post references an officially disclosed breach -- regulatory pressure typically opens budget for endpoint / detection upgrades.,"Lead with a compliance-aligned post-incident playbook (notification, scope, blast radius) -- not a product pitch.",Internal suggestion: share a post-incident lessons-learned brief; never claim insight you do not have.,0,0,0,0,0,5
x,2055167074607960479,2026-05-15 06:03:08+00:00,2043611533553389568,"🌑 Dark Web Intelligence

🏷️ Category → Data Breach
🏢 Target   → Cairo University and Galala University
🏭 Sector   → Education
🌍 Country  → Egypt
📅 Date     → 2026-05-15

A threat actor identified as INT3X is offering for sale approximately 10GB of data allegedly https://t.co/I9XQjfdpKl",https://x.com/i/web/status/2055167074607960479,"""data breach""",BREACH_DISCLOSURE,BREACH_DISCLOSURE,60,['data breach'],24,Medium,False,Post references an officially disclosed breach -- regulatory pressure typically opens budget for endpoint / detection upgrades.,"Lead with a compliance-aligned post-incident playbook (notification, scope, blast radius) -- not a product pitch.",Internal suggestion: share a post-incident lessons-learned brief; never claim insight you do not have.,0,0,0,0,0,5
x,2055167069449023863,2026-05-15 06:03:07+00:00,1628217605432524806,"Oi @felipeneto gostaria que você jogasse Five Nights at Freddy's Security Breach, é um jogo muito bom",https://x.com/i/web/status/2055167069449023863,"""security breach""",BREACH_DISCLOSURE,BREACH_DISCLOSURE,60,['security breach'],24,Medium,False,Post references an officially disclosed breach -- regulatory pressure typically opens budget for endpoint / detection upgrades.,"Lead with a compliance-aligned post-incident playbook (notification, scope, blast radius) -- not a product pitch.",Internal suggestion: share a post-incident lessons-learned brief; never claim insight you do not have.,0,0,0,0,0,4
x,2055166651973132512,2026-05-15 06:01:27+00:00,1784399224555102208,@GatoEstudios Igual que en security breach,https://x.com/i/web/status/2055166651973132512,"""security breach""",BREACH_DISCLOSURE,BREACH_DISCLOSURE,60,['security breach'],24,Medium,False,Post references an officially disclosed breach -- regulatory pressure typically opens budget for endpoint / detection upgrades.,"Lead with a compliance-aligned post-incident playbook (notification, scope, blast radius) -- not a product pitch.",Internal suggestion: share a post-incident lessons-learned brief; never claim insight you do not have.,0,0,0,0,0,4
x,2055103523675898040,2026-05-15 01:50:36+00:00,808483502417215488,OpenAI Confirms Security Breach Linked to AI Malware Campaign - Decrypt https://t.co/MvsUgLys0w,https://x.com/i/web/status/2055103523675898040,"""malware campaign""",MALWARE_CAMPAIGN,BREACH_DISCLOSURE,60,['security breach'],24,Medium,False,Post references an officially disclosed breach -- regulatory pressure typically opens budget for endpoint / detection upgrades.,"Lead with a compliance-aligned post-incident playbook (notification, scope, blast radius) -- not a product pitch.",Internal suggestion: share a post-incident lessons-learned brief; never claim insight you do not have.,0,0,0,0,0,5
x,2055031644952891736,2026-05-14 21:04:59+00:00,1783273540466180096,"@SecurePrivacyAI Always the same pattern, exposure concentrated at the bottom, protection at the top. Enterprise gets custom privacy terms, everyone else gets a breach notification email. Infrastructure-level confidential compute is the only solution that doesn’t require budget or legal teams to",https://x.com/i/web/status/2055031644952891736,"""breach notification""",BREACH_DISCLOSURE,BREACH_DISCLOSURE,60,['breach notification'],24,Medium,False,Post references an officially disclosed breach -- regulatory pressure typically opens budget for endpoint / detection upgrades.,"Lead with a compliance-aligned post-incident playbook (notification, scope, blast radius) -- not a product pitch.",Internal suggestion: share a post-incident lessons-learned brief; never claim insight you do not have.,0,0,0,0,0,4
x,2055013445817246110,2026-05-14 19:52:40+00:00,3086727432,OpenAI Confirms Security Breach Linked to AI Malware Campaign - Decrypt https://t.co/bXbJoscLYL,https://x.com/i/web/status/2055013445817246110,"""malware campaign""",MALWARE_CAMPAIGN,BREACH_DISCLOSURE,60,['security breach'],24,Medium,False,Post references an officially disclosed breach -- regulatory pressure typically opens budget for endpoint / detection upgrades.,"Lead with a compliance-aligned post-incident playbook (notification, scope, blast radius) -- not a product pitch.",Internal suggestion: share a post-incident lessons-learned brief; never claim insight you do not have.,0,0,0,0,0,5
